"File Path","Line Number","Marker Type","Category","Priority","Description","Impact Level","Fix Effort Hours"
"/home/user/386bsd/usr/src/kernel/kern/opt/ktrace/ktrace.c","435","TODO","Process Tracing","HIGH","Check groups, use caller effective gid","Medium","4"
"/home/user/386bsd/usr/src/kernel/kern/opt/ktrace/ktrace.c","55,387,445","XXX","Process Access","HIGH","Direct curproc access without proper locking","Medium","12"
"/home/user/386bsd/usr/src/kernel/kern.386bsd.original/fs/vnode.c","473,538","XXX","VNode Management","HIGH","Direct curproc usage - needs locking","Medium","8"
"/home/user/386bsd/usr/src/usr.bin/tar/tar.c","43","FIXME","File Archiving","MEDIUM","atoi() parsing issues","Medium","4"
"/home/user/386bsd/usr/src/usr.bin/tar/port.c","119","FIXME","File Archiving","MEDIUM","SUID/SGID handling incomplete","Medium","4"
"/home/user/386bsd/usr/src/usr.bin/tar/port.c","319","FIXME","File Archiving","MEDIUM","Code broken in several ways - Shell escapes","Medium","6"
"/home/user/386bsd/usr/src/usr.bin/tar/port.c","385","FIXME","File Archiving","MEDIUM","Table depends on O_XXX integer values","Medium","2"
"/home/user/386bsd/usr/src/usr.bin/tar/port.c","418-419","FIXME","File Archiving","MEDIUM","UID/GID handling, flags & 3 dependency","Medium","4"
"/home/user/386bsd/usr/src/usr.bin/tar/names.c","50-51","FIXME","File Archiving","MEDIUM","Inefficient one-entry name cache","Medium","4"
"/home/user/386bsd/usr/src/usr.bin/tar/list.c","544","FIXME","File Archiving","MEDIUM","Code cleanup needed","Medium","3"
"/home/user/386bsd/usr/src/usr.bin/tar/extract.c","289","FIXME","File Archiving","MEDIUM","Permission extraction issues","Medium","4"
"/home/user/386bsd/usr/src/usr.bin/tar/extract.c","425","FIXME","File Archiving","MEDIUM","Should be struct rec type","Medium","2"
"/home/user/386bsd/usr/src/usr.bin/tar/extract.c","583","FIXME","File Archiving","MEDIUM","UID/GID handling not implemented","Medium","4"
"/home/user/386bsd/usr/src/usr.bin/tar/create.c","296","FIXME","File Archiving","MEDIUM","Quick & dirty, needs proper hashing","Medium","6"
"/home/user/386bsd/usr/src/usr.bin/tar/create.c","335","FIXME","File Archiving","MEDIUM","Remove from list after all links found","Medium","2"
"/home/user/386bsd/usr/src/usr.bin/tar/create.c","683","FIXME","File Archiving","MEDIUM","Do after files to avoid R/O dir problems","Medium","2"
"/home/user/386bsd/usr/src/usr.bin/tar/create.c","691","FIXME","File Archiving","MEDIUM","Should be restructured","Medium","2"
"/home/user/386bsd/usr/src/usr.bin/tar/create.c","803","FIXME","File Archiving","MEDIUM","Speed up by cd-ing into directory","Medium","2"
"/home/user/386bsd/usr/src/usr.bin/tar/diffarch.c","126","FIXME","File Archiving","MEDIUM","Remove perrors handling","Medium","2"
"/home/user/386bsd/usr/src/usr.bin/tar/diffarch.c","311","FIXME","File Archiving","MEDIUM","Handle rdev field","Medium","2"
"/home/user/386bsd/usr/src/usr.bin/tar/diffarch.c","316","FIXME","File Archiving","MEDIUM","Deal with umask","Medium","2"
"/home/user/386bsd/usr/src/usr.bin/tar/buffer.c","194","FIXME","File Archiving","MEDIUM","Off-by-one in multi-volume support","Medium","2"
"/home/user/386bsd/usr/src/usr.bin/tar/buffer.c","1110","FIXME","File Archiving","MEDIUM","Size=0 multi-volume support","Medium","2"
"/home/user/386bsd/usr/src/lib/libutil/kvm.c","205","XXX","Memory Inspection Tools","MEDIUM","kvm initialization check","Medium","2"
"/home/user/386bsd/usr/src/lib/libutil/kvm.c","411","XXX","Memory Inspection Tools","MEDIUM","Premature giving up on symbol lookup","Medium","4"
"/home/user/386bsd/usr/src/lib/libutil/kvm.c","619","XXX","Memory Inspection Tools","MEDIUM","Wrong pmap stats calculation","Medium","2"
"/home/user/386bsd/usr/src/lib/libutil/kvm.c","715,722","XXX","Memory Inspection Tools","MEDIUM","Sigcode handling assumptions","Medium","2"
"/home/user/386bsd/usr/src/kernel/mem/mem.c","213","XXX","Memory Management","MEDIUM","pmap_extract should return -1 for non-existent","Medium","2"
"/home/user/386bsd/usr/src/bootstrap/boot/boot.c","60","XXX","Bootstrap","MEDIUM","Hard-coded BIOS params address 0x9ff00","Medium","4"
"/home/user/386bsd/usr/src/bootstrap/boot/boot.c","73","XXX","Bootstrap","MEDIUM","Undocumented scsisn external","Medium","2"
"/home/user/386bsd/usr/src/bootstrap/boot/boot.c","261","XXX","Bootstrap","MEDIUM","Read syms and strings - undocumented","Medium","2"
"/home/user/386bsd/usr/src/bootstrap/boot/boot.c","284","XXX","Bootstrap","MEDIUM","Hard-coded bcopy addresses 0x9ff00, 0x300, 0x20","Medium","2"
"/home/user/386bsd/usr/src/kernel/i386/pmap.c","134,139","XXX","Page Mapping","LOW","Address translation improvements needed","Low","4"
"/home/user/386bsd/usr/src/kernel/i386/pmap.c","277","XXX","Page Mapping","LOW","msgbuf allocation handling","Low","2"
"/home/user/386bsd/usr/src/kernel/i386/pmap.c","612","XXX","Page Mapping","LOW","Should cluster page invalidations","Low","2"
"/home/user/386bsd/usr/src/kernel/i386/pmap.c","1010","XXX","Page Mapping","LOW","Pager mappings in pvtable","Low","2"
"/home/user/386bsd/usr/src/kernel/pccons/pccons.c","296,300,806,824,1422,1459,1532","XXX","Console Driver","LOW","Keyboard/console handling rough","Low","8"
"/home/user/386bsd/usr/src/kernel/mcd/mcd.c","260,327,893,1144,1196-1216","XXX","CD-ROM Driver","LOW","CD-ROM driver incomplete","Low","12"
"/home/user/386bsd/usr/src/kernel/wt/wt.c","298","XXX","Tape Driver","LOW","64K boundary handling","Low","2"
"/home/user/386bsd/usr/src/sbin/ping/ping.c","741,810,842,846,850,854","XXX","Network Utilities","LOW","Ping packet handling documentation","Low","4"
"/home/user/386bsd/usr/src/usr.sbin/tcpdump/print-*.c","various","XXX","Protocol Inspection","LOW","Protocol parsing edge cases","Low","20"
"/home/user/386bsd/usr/src/kernel/socket/sockops.c","82,484","XXX","Socket Operations","LOW","Socket permissions, splnet() handling","Low","4"
"/home/user/386bsd/usr/src/kernel/socket/sock_sys.c","322,323,428,585","XXX","Socket System Calls","LOW","Socket system call implementation details","Low","4"
"/home/user/386bsd/usr/src/usr.bin/w/proc_compare.c","56","TODO","Process Utilities","MEDIUM","Consider pctcpu in sorting","Low","2"
"/home/user/386bsd/usr/src/usr.bin/gdb/printcmd.c","1509","TODO","Debugger","LOW","Handle additional escape sequences","Low","2"
"/home/user/386bsd/usr/src/lib/libc/gen/glob.c","352","TODO","C Library","MEDIUM","Glob pattern performance optimization","Low","4"
"/home/user/386bsd/usr/src/usr.bin/grep/dfa.h","20","FIXME","Text Processing","LOW","DFA comment cleanup","Low","1"
"/home/user/386bsd/usr/src/include/stdlib.h","59","XXX","Standard Headers","LOW","MB_CUR_MAX constant definition","Low","1"
"/home/user/386bsd/usr/src/include/stdio.h","175","XXX","Standard Headers","LOW","L_tmpnam must equal PATH_MAX","Low","1"
"/home/user/386bsd/usr/src/include/nlist.h","66,71","XXX","Standard Headers","LOW","Symbol table format definitions","Low","1"
